,Date,PARK
1247,2017/10/18,88
1248,2017/10/19,91
1249,2017/10/20,88
1250,2017/10/21,89
1251,2017/10/22,92
1252,2017/10/23,91
1253,2017/10/24,89
1254,2017/10/25,86
1255,2017/10/26,87
1256,2017/10/27,83
1257,2017/10/28,85
1258,2017/10/29,87
1259,2017/10/30,88
1260,2017/10/31,87
1261,2017/11/1,87
1262,2017/11/2,86
1263,2017/11/3,86
1264,2017/11/4,84
1265,2017/11/5,85
1266,2017/11/6,83
1267,2017/11/7,84
1268,2017/11/8,82
1269,2017/11/9,85
1270,2017/11/10,82
1271,2017/11/11,82
1272,2017/11/12,81
1273,2017/11/13,84
1274,2017/11/14,83
1275,2017/11/15,86
1276,2017/11/16,80
1277,2017/11/17,80
1278,2017/11/18,77
1279,2017/11/19,77
1280,2017/11/20,77
1281,2017/11/21,75
1282,2017/11/22,71
1283,2017/11/23,65
1284,2017/11/24,55
1285,2017/11/25,49
1286,2017/11/26,44
1287,2017/11/27,41
1288,2017/11/28,38
1289,2017/11/29,35
1290,2017/11/30,33
1291,2017/12/1,29
1292,2017/12/2,28
